date,china,japan
2019-12-31,27,0
2020-01-01,27,0
2020-01-02,27,0
2020-01-03,44,0
2020-01-04,44,0
2020-01-05,59,0
2020-01-06,59,0
2020-01-07,59,0
2020-01-08,59,0
2020-01-09,59,0
2020-01-10,59,0
2020-01-11,59,0
2020-01-12,59,0
2020-01-13,59,0
2020-01-14,59,0
2020-01-15,59,1
2020-01-16,59,1
2020-01-17,63,1
2020-01-18,80,1
2020-01-19,216,1
2020-01-20,235,1
2020-01-21,386,1
2020-01-22,526,1
2020-01-23,623,1
2020-01-24,882,2
2020-01-25,1323,2
2020-01-26,1988,3
2020-01-27,2775,3
2020-01-28,4528,4
2020-01-29,5994,7
2020-01-30,7734,11
2020-01-31,9714,14
2020-02-01,11809,15
2020-02-02,14399,19
2020-02-03,17211,20
2020-02-04,20448,20
2020-02-05,24320,25
2020-02-06,28047,25
2020-02-07,31207,25
2020-02-08,34625,25
2020-02-09,37232,25
2020-02-10,40206,25
2020-02-11,42696,25
2020-02-12,44724,25
2020-02-13,59865,29
2020-02-14,64021,30
2020-02-15,66559,38
2020-02-16,68566,52
2020-02-17,70618,59
2020-02-18,72508,59
2020-02-19,74258,66
2020-02-20,74652,84
2020-02-21,75543,93
2020-02-22,76369,105
2020-02-23,77016,132
2020-02-24,77234,144
2020-02-25,77749,144
2020-02-26,78159,164
2020-02-27,78598,186
2020-02-28,78927,210
2020-02-29,79355,230
2020-03-01,79929,239
2020-03-02,80134,254
2020-03-03,80261,254
2020-03-04,80380,268
2020-03-05,80497,317
2020-03-06,80667,349
2020-03-07,80768,408
2020-03-08,80814,455
2020-03-09,80859,488
2020-03-10,80879,514
2020-03-11,80908,568
2020-03-12,80932,619
2020-03-13,80954,675
2020-03-14,80973,737
2020-03-15,80995,780
2020-03-16,81020,814
2020-03-17,81063,824
2020-03-18,81086,829
2020-03-19,81130,873
2020-03-20,81229,950
2020-03-21,81281,1007
2020-03-22,81346,1046
2020-03-23,81484,1089
2020-03-24,81553,1128
2020-03-25,81631,1193
2020-03-26,81733,1268
2020-03-27,81827,1364
2020-03-28,81946,1499
2020-03-29,82059,1693
2020-03-30,82157,1866
2020-03-31,82241,1953
2020-04-01,82295,1953
2020-04-02,82395,2178
2020-04-03,82465,2617
2020-04-04,82527,2935
2020-04-05,82575,3271
2020-04-06,82642,3654
2020-04-07,82698,3817
2020-04-08,82784,3906
2020-04-09,82870,4257
